,# of Tracks,Total Runtime (ms)
Guns N' Roses,4,1386586
a-ha,1,225280
Michael Jackson,6,1575732
Toto,1,295893
Queen,3,820892
George Michael,1,300106
Europe,2,582466
Madonna,2,585626
Bonnie Tyler,1,267786
Eurythmics,2,511519
Cyndi Lauper,2,481186
Bon Jovi,3,820625
AC/DC,3,777959
Modern Talking,2,560933
Ameritz Karaoke Entertainment,1,189539
Rick Astley,2,419106
The Police,1,253250
Richard Marx,1,264333
Survivor,1,245620
Wham!,1,231333
Culture Club,2,514946
Kool & The Gang,1,215653
The Outfield,1,221840
Whitney Houston,4,1096692
Elton John,2,489200
Kim Carnes,1,228000
Phil Collins,2,658586
Roxette,1,328093
Billy Idol,1,299240
Kenny Loggins,1,226293
Dead Or Alive,1,196800
Blondie,1,275733
Baltimora,1,378946
Billy Joel,1,197706
Journey,1,267080
Air Supply,1,341746
Milli Vanilli,1,224800
Heart,1,218733
Salt-N-Pepa,1,272133
Men At Work,1,220866
Dire Straits,1,249960
Tina Turner,1,226880
Nena,1,233000
Bryan Adams,2,459413
Cinderella,1,354640
A Flock Of Seagulls,1,220306
Simple Minds,1,263040
Bruce Springsteen,1,241306
The Human League,1,236920
"Bill Medley, Jennifer Warnes",1,290333
"Earth, Wind & Fire",1,339320
Tears For Fears,1,248586
Berlin,1,255733
Daryl Hall & John Oates,1,271893
Pet Shop Boys,1,258333
Mr. Mister,1,345840
Bobby McFerrin,1,292400
Sade,1,265186
Paul Simon,1,280000
Skid Row,1,313693
David Bowie,1,457133
Stingray Music (Karaoke),1,241362
Foreigner,1,304786
"Kanye West, Lil Pump",1,127946
Depeche Mode,1,293986
Spandau Ballet,1,328293
UB40,1,178333
